DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
R2613,redacted,redacted,Lowell,R,,45,42.64046271,71.3591393,211552.5836,932219.1058,M,100
G230,redacted,redacted,Williamstown,G,,15,42.7345561,73.2061266,60291.63448,944059.3938,M,100
R3324,redacted,redacted,Wayland,R,,75,42.3176338,71.3634794,211254.03,896358.7016,M,100
F378,redacted,redacted,Worcester,F,,,42.2987107,71.7698718,177746.584,894283.0063,M,66
G231,redacted,redacted,Reading,G,,22.5,42.51195175,71.1039338,232549.26,918009.7604,M,100
W208,redacted,redacted,Chelsea,W,,,42.39529006,71.0527082,236826.9629,905072.0561,M,53
F379,redacted,redacted,Fall River,F,,,41.69707179,71.1469574,229388.1656,827484.2841,M,100
R2614,redacted,redacted,Brookline,R,,45,42.34330958,71.1231411,231053.5526,899270.2615,M,100
R2029,redacted,redacted,Boston,R,,36,42.2951528,71.0562497,236593.2518,893947.7953,M,60
G232,redacted,redacted,Boston,G,,12,42.36306286,71.0567178,236515.452,901490.6728,M,100
W209,redacted,redacted,Saugus,W,,,42.13197049,71.0401454,238018.9784,875829.8569,T,66
R2164,redacted,redacted,Holyoke,R,,37.5,42.17843563,72.6404085,105786.8461,881518.1907,M,100
R2857,redacted,redacted,Westborough,R,,48,42.28633609,71.63262,189062.1084,892881.7931,M,100
F380,redacted,redacted,Boston,F,,,42.33641554,71.0625547,236049.8154,898528.3378,M,100
W210,redacted,redacted,Boston,W,,,42.33641554,71.0625547,236049.8154,898528.3378,M,66
W211,redacted,redacted,New Bedford,W,,,41.65398902,70.9248932,247905.3927,822799.8627,M,66
F381,redacted,redacted,Gloucester,F,,,42.61602686,70.6643426,268561.3481,929830.9745,M,100
F382,redacted,redacted,Middleton,F,,,42.59575845,71.0164324,239687.3967,927356.1252,M,100
W212,redacted,redacted,Everett,W,,,42.39543529,71.052471,236846.4088,905088.2905,T,66
F383,redacted,redacted,Gloucester,F,,,42.61702843,70.6523993,269540.0941,929951.8971,M,100
G233,redacted,redacted,North Falmouth,G,,30,41.6389708,70.6162431,273631.9335,821351.7783,M,100
W213,redacted,redacted,Stoughton,W,,,42.13347431,71.1383027,229903.0594,875957.8059,M,66
R1659,redacted,redacted,Marblehead,R,,30,42.50433865,70.8502585,253402.7598,917291.9192,M,100
R1660,redacted,redacted,Leominster,R,,30,42.5404509,71.7402456,180265.1634,921127.7069,M,100
W214,redacted,redacted,Chelsea,W,,,42.86277234,70.9293381,246636.8544,957061.7673,T,66
R1128,redacted,redacted,Hyannis,R,,22.5,41.64888654,70.3102116,299112.7457,822762.91,M,100
R620,redacted,redacted,North Adams,R,,18,42.69904996,73.1099184,68094.35472,939962.6581,M,100
G234,redacted,redacted,Woburn,G,,15,42.49232555,71.1542947,228419.3899,915811.6917,M,100
R175,redacted,redacted,East Weymouth,R,,15,42.2160463,70.9217581,247743.3285,885227.7354,M,100
R1661,redacted,redacted,Methuen,R,,30,42.70240134,71.2179,223113.4291,939128.3131,M,100
R1662,redacted,redacted,Brighton,R,,30,42.34868606,71.1391199,229734.3626,899861.7622,M,100
C100,redacted,redacted,Boston,C,,12.6,42.35090346,71.0635114,235962.7435,900137.178,M,100
R419,redacted,redacted,Dalton,R,,16.5,42.4744013,73.1637693,63196.00552,915097.3522,M,100
R621,redacted,redacted,Tyngsboro,R,,18,42.68083068,71.4260191,206063.6006,936696.504,M,100
F384,redacted,redacted,Salem,F,,,42.49399987,70.9197949,247695.4104,916102.3021,M,100
F385,redacted,redacted,Malden,F,,,42.41792782,71.07767,234759.3479,907576.1053,M,100
R622,redacted,redacted,East Weymouth,R,,18,42.22909603,70.943463,245941.8066,886665.2643,M,100
R2165,redacted,redacted,Tewksbury,R,,37.5,42.62029572,71.258286,219830.3241,929997.42,M,100
R1967,redacted,redacted,Billerica,R,,33,42.53494487,71.2348044,221786.2401,920522.1636,M,100
R176,redacted,redacted,Newburyport,R,,15,42.816461,70.9112796,248148.1623,951927.074,M,100
R3095,redacted,redacted,Boston,R,,60,42.34207881,71.0798862,234618.4443,899150.2046,M,100
F386,redacted,redacted,Swampscott,F,,,42.46722896,70.9146393,248139.6258,913131.5551,M,100
R3198,redacted,redacted,Norwood,R,,67.5,42.19540625,71.1843851,226067.7995,882821.5723,M,100
R177,redacted,redacted,Fairhaven,R,,15,41.64652567,70.8870306,251065.188,821992.9124,M,100
R1129,redacted,redacted,Springfield,R,,22.5,42.1364835,72.5692343,111608.0702,876782.6695,M,100
R3409,redacted,redacted,Woburn,R,,82.5,42.4683763,71.1423541,229412.1408,913155.4791,M,100
R178,redacted,redacted,Marlborough,R,,15,42.34730985,71.5439866,196375.6789,899646.9302,M,100
R3721,redacted,redacted,Hull,R,,135,42.27019656,70.8571688,253030.8131,891280.4284,M,100
R2879,redacted,redacted,Gloucester,R,,49.5,42.61252249,70.6645251,268550.1852,929441.5668,M,100
G235,redacted,redacted,Boston,G,,75,42.29497642,71.0569773,236533.3568,893927.8926,M,100
R1446,redacted,redacted,Boston,R,,27,42.350403,71.1090683,232209.5449,900063.3836,M,100
F387,redacted,redacted,Wareham,F,,,41.78387292,70.7506921,262288.9827,837337.8817,M,100
F388,redacted,redacted,Worcester,F,,,42.28542363,71.8492131,171198.1517,892830.8978,M,100
W215,redacted,redacted,Everett,W,,,42.21846693,71.8163112,173884.1896,885383.1944,T,66
R1407,redacted,redacted,JAMAICA PLAIN,R,,25.5,42.30592285,71.1146583,231771.3009,895120.6608,M,100
IH643,redacted,redacted,FITCHBURG,IH,,9.198,42.57471652,71.7993717,175421.6636,924949.3522,M,100
R3199,redacted,redacted,Braintree,R,,67.5,42.1850812,70.9746903,243394.1552,881760.1347,M,100
R623,redacted,redacted,Whitman,R,,18,42.08148543,70.9472157,245738.2809,870268.1267,M,100
